------------------------------------------------------------
 Force Displacement Plot
------------------------------------------------------------
Displacement, Force
             49.5868,              15959.2
             49.7712,              16066.9
             49.9555,              16174.3
             50.1399,              16417.4
             50.3242,              16677.6
             50.5085,              16784.6
             50.6929,              17076.9
             50.8772,              17262.2
             51.0615,              17520.9
             51.2459,              17519.2
             51.4302,              17652.3
             51.6146,              17919.9
             51.7989,              17892.5
             51.9832,              18342.2
             52.1676,              18440.2
             52.3519,              18723.1
             52.5363,              18853.4
             52.7206,              18855.2
             52.9049,              18896.6
             53.0893,              18992.3
             53.2736,              19302.5
             53.4579,              19359.9
             53.6423,              19495.6
             53.8266,                19782
              54.011,              19895.7
             54.1953,              20043.6
             54.3796,              20032.7
              54.564,              20119.1
             54.7483,              20186.8
             54.9326,              20334.6
              55.117,              20440.9
             55.3013,              20457.2
