------------------------------------------------------------
 sigma_zz
------------------------------------------------------------
Simulation Step, Stress
                 417,            0.0157526
                 418,            0.0153146
                 419,            0.0148927
                 420,            0.0146796
                 421,            0.0143598
                 422,            0.0140881
                 423,            0.0138431
                 424,            0.0137663
                 425,            0.0135021
                 426,            0.0132045
                 427,            0.0128704
                 428,            0.0126645
                 429,            0.0122513
                 430,             0.011799
                 431,            0.0113258
                 432,            0.0110316
                 433,            0.0106217
                 434,            0.0102845
                 435,            0.0100208
                 436,           0.00998219
                 437,           0.00981021
                 438,           0.00967195
                 439,           0.00958996
                 440,            0.0097638
                 441,           0.00987006
                 442,            0.0100868
                 443,            0.0104203
                 444,            0.0110376
                 445,            0.0115812
                 446,            0.0121781
                 447,            0.0127782
                 448,            0.0135023
                 449,            0.0139814
                 450,            0.0143567
                 451,            0.0146168
                 452,            0.0149351
                 453,            0.0150141
                 454,            0.0150717
                 455,            0.0151642
                 456,            0.0154921
                 457,            0.0157318
                 458,            0.0160353
                 459,            0.0163884
                 460,            0.0169419
                 461,            0.0173416
                 462,             0.017715
                 463,            0.0180221
                 464,            0.0183984
                 465,            0.0185053
                 466,            0.0185159
                 467,            0.0184478
                 468,            0.0184794
                 469,             0.018288
                 470,             0.018038
                 471,            0.0177325
                 472,             0.017544
                 473,             0.017159
                 474,            0.0167564
                 475,            0.0163497
                 476,             0.016112
                 477,            0.0157192
                 478,            0.0153403
                 479,            0.0149782
                 480,            0.0147933
                 481,            0.0144371
                 482,            0.0140605
                 483,            0.0136629
                 484,            0.0134243
                 485,            0.0130286
                 486,            0.0126538
                 487,            0.0123076
                 488,            0.0121668
                 489,            0.0119129
                 490,            0.0117281
                 491,            0.0116177
                 492,            0.0117344
                 493,            0.0117102
                 494,            0.0116823
                 495,            0.0116404
                 496,            0.0117633
                 497,            0.0117357
                 498,            0.0117416
                 499,            0.0117942
                 500,            0.0120766
                 501,            0.0122717
                 502,            0.0125633
                 503,            0.0129495
                 504,            0.0135699
                 505,            0.0140463
                 506,            0.0145108
                 507,            0.0149461
                 508,            0.0155118
                 509,            0.0158742
                 510,            0.0162048
                 511,            0.0165198
                 512,            0.0170006
                 513,             0.017323
                 514,            0.0176379
                 515,            0.0179233
                 516,            0.0183229
                 517,            0.0184966
                 518,            0.0186054
                 519,            0.0186549
                 520,            0.0188195
                 521,            0.0187883
                 522,            0.0187449
                 523,            0.0187073
                 524,            0.0188447
                 525,            0.0188201
                 526,            0.0187806
                 527,            0.0187145
                 528,            0.0187801
                 529,            0.0186393
                 530,            0.0184448
                 531,            0.0181879
                 532,             0.018033
                 533,            0.0176609
                 534,            0.0172509
                 535,            0.0168165
                 536,            0.0165302
                 537,            0.0160703
                 538,            0.0156115
                 539,            0.0151681
                 540,             0.014915
                 541,             0.014518
                 542,            0.0141372
                 543,            0.0137757
                 544,            0.0136121
                 545,            0.0133223
                 546,            0.0130787
                 547,            0.0128799
                 548,            0.0128875
                 549,            0.0127598
                 550,            0.0126648
                 551,            0.0126102
                 552,            0.0127731
                 553,            0.0128253
                 554,            0.0129342
                 555,            0.0130947
                 556,            0.0134644
                 557,            0.0136931
                 558,            0.0139334
                 559,            0.0141732
                 560,            0.0145723
                 561,            0.0147934
                 562,            0.0150079
                 563,            0.0152257
                 564,             0.015627
                 565,            0.0158983
                 566,            0.0162233
                 567,            0.0166142
                 568,            0.0172344
                 569,            0.0177329
                 570,            0.0182435
                 571,            0.0187314
                 572,            0.0193278
                 573,            0.0196722
                 574,            0.0199123
                 575,             0.020049
                 576,            0.0202635
                 577,            0.0202538
                 578,            0.0202057
                 579,            0.0201319
                 580,            0.0201985
                 581,            0.0200755
                 582,            0.0199255
                 583,            0.0197532
                 584,            0.0197317
                 585,            0.0195385
                 586,             0.019345
                 587,            0.0191552
                 588,            0.0191324
                 589,            0.0189409
                 590,            0.0187414
                 591,            0.0185303
                 592,            0.0184627
                 593,            0.0181931
                 594,            0.0178694
                 595,            0.0174884
                 596,            0.0172291
                 597,            0.0167823
                 598,            0.0163318
                 599,            0.0158907
                 600,            0.0156388
                 601,            0.0152574
                 602,            0.0149264
                 603,            0.0146472
                 604,            0.0145759
                 605,            0.0143673
                 606,            0.0141954
                 607,            0.0140828
                 608,            0.0142124
                 609,            0.0142443
                 610,            0.0143223
                 611,            0.0144306
                 612,            0.0147362
                 613,            0.0149144
                 614,            0.0151282
                 615,            0.0153658
                 616,            0.0157825
                 617,            0.0160413
                 618,            0.0163087
                 619,            0.0165817
                 620,            0.0170146
                 621,            0.0172645
                 622,            0.0174922
                 623,            0.0177043
                 624,            0.0180759
                 625,            0.0182892
                 626,            0.0185188
                 627,            0.0187749
                 628,            0.0192272
                 629,            0.0195402
                 630,             0.019867
                 631,            0.0201916
                 632,            0.0206589
                 633,            0.0209194
                 634,             0.021123
                 635,            0.0212601
                 636,            0.0214848
                 637,            0.0214606
                 638,            0.0213459
                 639,            0.0211507
                 640,            0.0210625
                 641,             0.020782
                 642,            0.0204954
                 643,            0.0202167
                 644,            0.0201176
                 645,            0.0198731
                 646,             0.019654
                 647,            0.0194631
                 648,            0.0194576
                 649,            0.0192905
                 650,            0.0191083
                 651,            0.0189021
                 652,            0.0188343
                 653,            0.0185736
                 654,            0.0182822
                 655,            0.0179613
                 656,            0.0177826
                 657,            0.0174288
                 658,            0.0170779
                 659,            0.0167444
                 660,            0.0166073
                 661,             0.016352
                 662,            0.0161561
                 663,            0.0160293
                 664,            0.0161374
                 665,            0.0161369
                 666,            0.0161763
                 667,            0.0162447
                 668,            0.0165031
                 669,            0.0166174
                 670,            0.0167465
                 671,            0.0168852
                 672,             0.017198
                 673,            0.0173609
                 674,            0.0175455
                 675,             0.017755
                 676,            0.0181473
                 677,            0.0183803
                 678,            0.0186054
                 679,            0.0188196
                 680,              0.01919
                 681,            0.0193998
                 682,            0.0196161
                 683,            0.0198422
                 684,             0.020239
                 685,            0.0204775
                 686,            0.0207068
                 687,            0.0209136
                 688,            0.0212483
                 689,            0.0213831
                 690,            0.0214803
                 691,            0.0215436
                 692,            0.0217343
                 693,            0.0217331
                 694,            0.0217043
                 695,            0.0216545
                 696,            0.0217454
                 697,             0.021652
                 698,            0.0215261
                 699,             0.021367
                 700,            0.0213403
                 701,            0.0211354
                 702,            0.0209139
                 703,            0.0206745
                 704,            0.0205776
                 705,            0.0203087
                 706,             0.020039
                 707,            0.0197807
                 708,             0.019701
                 709,            0.0194756
                 710,            0.0192642
                 711,            0.0190672
                 712,            0.0190439
                 713,            0.0188637
                 714,            0.0186811
                 715,             0.018496
                 716,            0.0184752
                 717,             0.018303
                 718,            0.0181449
                 719,            0.0180035
                 720,            0.0180419
                 721,            0.0179413
                 722,             0.017871
                 723,            0.0178411
                 724,            0.0180174
                 725,             0.018072
                 726,            0.0181628
                 727,            0.0182931
                 728,            0.0186312
                 729,            0.0188463
                 730,            0.0190881
                 731,            0.0193447
                 732,            0.0197746
                 733,            0.0200489
                 734,             0.020322
                 735,             0.020578
                 736,            0.0209639
                 737,            0.0211526
                 738,             0.021312
                 739,            0.0214494
                 740,             0.021727
                 741,            0.0218209
                 742,            0.0218989
                 743,            0.0219767
                 744,            0.0222302
                 745,            0.0223345
                 746,            0.0224404
                 747,            0.0225356
                 748,            0.0227756
                 749,            0.0228323
                 750,             0.022862
                 751,            0.0228551
                 752,            0.0229629
                 753,            0.0228598
                 754,            0.0227126
                 755,            0.0225317
                 756,            0.0224873
                 757,            0.0222684
                 758,            0.0220472
                 759,            0.0218359
                 760,            0.0217979
                 761,            0.0216012
                 762,            0.0213915
                 763,            0.0211602
                 764,            0.0210681
                 765,            0.0207936
                 766,            0.0205053
                 767,            0.0202158
                 768,            0.0201034
                 769,            0.0198553
                 770,            0.0196414
                 771,            0.0194652
                 772,            0.0194907
                 773,            0.0193874
                 774,            0.0193153
                 775,            0.0192678
                 776,            0.0193994
                 777,            0.0193704
                 778,            0.0193425
                 779,            0.0193229
                 780,            0.0194858
                 781,            0.0195136
                 782,            0.0195773
                 783,            0.0196841
                 784,            0.0199998
                 785,            0.0201906
                 786,            0.0204019
                 787,            0.0206158
                 788,            0.0209851
                 789,            0.0211808
                 790,            0.0213741
                 791,             0.021576
                 792,            0.0219565
                 793,            0.0221878
                 794,            0.0224268
                 795,            0.0226651
                 796,            0.0230547
                 797,             0.023262
                 798,            0.0234414
                 799,            0.0235898
                 800,            0.0238676
                 801,            0.0239518
                 802,            0.0240035
                 803,             0.024026
                 804,            0.0241838
                 805,            0.0241557
                 806,               0.0241
                 807,            0.0240158
                 808,            0.0240667
                 809,            0.0239386
                 810,            0.0237989
                 811,             0.023652
                 812,             0.023659
                 813,            0.0234927
                 814,            0.0233136
                 815,            0.0231232
                 816,            0.0230815
                 817,            0.0228568
                 818,            0.0226084
                 819,             0.022342
                 820,             0.022229
                 821,            0.0219541
                 822,            0.0216829
                 823,            0.0214194
                 824,            0.0213323
                 825,            0.0211028
                 826,            0.0208971
                 827,            0.0207152
                 828,            0.0207163
                 829,            0.0205715
                 830,            0.0204488
                 831,            0.0203574
                 832,            0.0204653
                 833,            0.0204469
                 834,            0.0204632
                 835,            0.0205184
                 836,             0.020783
                 837,            0.0209248
                 838,            0.0210914
                 839,            0.0212595
                 840,            0.0215755
                 841,             0.021704
                 842,            0.0218168
                 843,             0.021926
                 844,            0.0222024
                 845,             0.022329
                 846,            0.0224775
                 847,              0.02266
                 848,            0.0230422
                 849,            0.0232895
                 850,             0.023544
                 851,            0.0237905
                 852,            0.0241817
                 853,            0.0243889
                 854,            0.0245651
                 855,            0.0247043
                 856,            0.0249664
                 857,            0.0250405
                 858,             0.025096
                 859,            0.0251382
                 860,            0.0253236
                 861,             0.025319
                 862,            0.0252743
                 863,            0.0251869
                 864,            0.0252205
                 865,            0.0250537
                 866,            0.0248537
                 867,            0.0246337
                 868,            0.0245702
                 869,            0.0243524
                 870,            0.0241423
                 871,            0.0239395
                 872,            0.0239077
                 873,            0.0237274
                 874,            0.0235599
                 875,            0.0234003
                 876,            0.0234023
                 877,            0.0232313
                 878,            0.0230471
                 879,            0.0228531
                 880,            0.0228146
                 881,            0.0226044
                 882,            0.0223807
                 883,             0.022146
                 884,            0.0220749
                 885,            0.0218578
                 886,            0.0216738
                 887,            0.0215363
                 888,            0.0216186
                 889,            0.0215959
                 890,            0.0216295
                 891,            0.0217101
                 892,            0.0219856
                 893,            0.0221095
                 894,            0.0222331
                 895,            0.0223535
                 896,             0.022638
                 897,            0.0227635
                 898,            0.0228982
                 899,            0.0230485
                 900,            0.0233815
                 901,            0.0235704
                 902,            0.0237663
                 903,            0.0239539
                 904,            0.0242809
                 905,            0.0244174
                 906,            0.0245215
                 907,            0.0245949
                 908,             0.024804
                 909,            0.0248354
                 910,             0.024866
                 911,             0.024913
                 912,            0.0251459
                 913,             0.025234
                 914,            0.0253231
                 915,             0.025398
                 916,            0.0256064
                 917,            0.0256168
                 918,            0.0255808
                 919,            0.0254992
                 920,            0.0255414
                 921,             0.025401
                 922,            0.0252462
                 923,            0.0250799
                 924,            0.0250627
                 925,            0.0248753
                 926,            0.0246815
                 927,            0.0244848
                 928,            0.0244456
                 929,            0.0242382
                 930,            0.0240259
                 931,            0.0238199
                 932,            0.0237944
                 933,            0.0236297
                 934,            0.0234852
                 935,            0.0233603
                 936,            0.0234193
                 937,            0.0233386
                 938,            0.0232762
                 939,            0.0232256
                 940,            0.0233415
                 941,            0.0232954
                 942,            0.0232461
                 943,            0.0231932
                 944,            0.0232987
                 945,            0.0232386
                 946,            0.0231789
                 947,            0.0231292
                 948,            0.0232625
                 949,            0.0232677
                 950,            0.0233132
                 951,            0.0234003
                 952,            0.0236838
                 953,            0.0238316
                 954,            0.0239959
                 955,            0.0241709
                 956,            0.0245105
                 957,            0.0246778
                 958,            0.0248153
                 959,            0.0249111
                 960,            0.0251274
                 961,             0.025162
                 962,            0.0251915
                 963,            0.0252228
                 964,            0.0254073
                 965,            0.0254219
                 966,            0.0254185
                 967,            0.0253962
                 968,            0.0255119
                 969,            0.0254551
                 970,            0.0253885
                 971,            0.0253199
                 972,            0.0254073
                 973,            0.0253347
                 974,            0.0252579
                 975,            0.0251848
                 976,             0.025279
                 977,             0.025223
                 978,            0.0251537
                 979,            0.0250507
                 980,            0.0250621
                 981,             0.024881
                 982,            0.0246771
                 983,            0.0244639
                 984,            0.0244103
                 985,            0.0242128
                 986,            0.0240398
                 987,            0.0238989
                 988,            0.0239493
                 989,            0.0238713
                 990,            0.0238147
                 991,             0.023772
                 992,            0.0238959
                 993,            0.0238637
                 994,            0.0238318
                 995,            0.0238029
                 996,            0.0239419
                 997,            0.0239326
                 998,            0.0239329
                 999,            0.0239383
                1000,            0.0241013
                1001,            0.0241056
                1002,            0.0241131
                1003,            0.0241314
                1004,            0.0243218
                1005,            0.0243693
                1006,            0.0244269
                1007,            0.0244905
                1008,            0.0247127
                1009,            0.0247702
                1010,            0.0248166
                1011,            0.0248555
                1012,            0.0250537
                1013,            0.0251053
                1014,            0.0251707
                1015,            0.0252444
                1016,            0.0254719
                1017,              0.02553
                1018,            0.0255685
                1019,            0.0255837
                1020,            0.0257276
                1021,              0.02568
                1022,            0.0255948
                1023,            0.0254793
                1024,            0.0255062
                1025,            0.0253805
                1026,            0.0252709
                1027,            0.0251817
                1028,            0.0252666
                1029,            0.0252064
                1030,            0.0251481
                1031,            0.0250814
                1032,            0.0251542
                1033,            0.0250446
                1034,            0.0249087
                1035,            0.0247515
                1036,            0.0247389
                1037,            0.0245665
                1038,            0.0244044
                1039,             0.024264
                1040,            0.0243037
                1041,            0.0242007
                1042,            0.0240967
                1043,            0.0239828
                1044,            0.0240154
                1045,            0.0238791
